State,Rank,Name,City,Zip,URL,Latitude,Longitude,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,HappyRank,HappyScore,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
MN,25,Carleton College,Northfield,55057-4001,www.carleton.edu,44.462304,-93.154662,0.2277,Private nonprofit,Town,1408,60401,0,1,0,1,0,0,1,1,1,1,0,1,52100,229.1,2,69.09,32,2042,480,2.35,15-Jan-19
CA,26,Claremont McKenna College,Claremont,91711-6400,www.cmc.edu,34.102323,-117.706593,0.1077,Private nonprofit,Suburb,1419,62010,0,1,0,1,0,1,1,1,1,1,1,1,70200,396.1,10,59.96,32,1293,10598,6.86,1-Jan-19
VA,27,Washington and Lee University,Lexington,24450-2116,www.wlu.edu/,37.787832,-79.445724,0.1946,Private nonprofit,Town,1395,58575,0,1,0,1,0,1,1,1,1,1,1,1,74900,196.2,21,56.61,32,1880,136,1.85,1-Jan-19
NY,28,Cornell University,Ithaca,14853,www.cornell.edu,42.447199,-76.483489,0.1419,Private nonprofit,City,1422,61608,1,1,1,1,1,1,1,1,1,1,1,1,81200,381.8,26,52.54,32,14195,4804,10.43,2-Jan-19
TX,29,Rice University,Houston,77005-1827,www.rice.edu,29.716485,-95.403625,0.151,Private nonprofit,City,1460,54291,0,1,1,1,0,1,1,1,1,1,1,1,76800,405.9,29,52.23,33,3888,244094,10.73,1-Jan-19
MA,30,Wellesley College,Wellesley,02481-8203,www.wellesley.edu,42.293765,-71.307966,0.3011,Private nonprofit,Suburb,1390,59092,0,1,1,1,0,0,1,1,1,1,0,1,55200,391.4,16,57.42,32,2172,436,1.47,15-Jan-19
NY,31,Vassar College,Poughkeepsie,12604,www.vassar.edu,41.685105,-73.894345,0.2354,Private nonprofit,Suburb,1403,61320,0,1,0,1,1,0,1,1,1,1,0,1,48200,381.8,26,52.54,32,2389,1846,6.07,1-Jan-19
VT,32,Middlebury College,Middlebury,5753,www.middlebury.edu,44.009117,-73.176068,0.1717,Private nonprofit,Town,1379,59470,0,1,1,1,0,0,1,1,1,1,0,1,59000,99.3,14,58.01,32,2498,316,3.69,1-Jan-19
VA,33,The University of Virginia's College at Wise,Wise,24293-4400,https://www.uvawise.edu/,36.971468,-82.558728,0.6882,Public,Town,946,20095,0,0,0,1,0,1,0,1,0,1,1,1,37400,196.2,21,56.61,20,1477,98,3.14,15-Aug-19
NY,34,Barnard College,New York,10027-6598,www.barnard.edu,40.809137,-73.964027,0.2377,Private nonprofit,City,1343,61171,0,1,1,1,0,0,1,1,1,1,0,1,51200,381.8,26,52.54,30,2556,359896,4.21,1-Jan-19
VA,35,College of William and Mary,Williamsburg,23187-8795,www.wm.edu,37.271997,-76.709417,0.3302,Public,Suburb,1373,28329,0,0,0,1,0,0,1,1,1,1,1,1,59300,196.2,21,56.61,31,6256,410,2.75,1-Jan-19
CA,36,California Institute of Technology,Pasadena,91125,www.caltech.edu,34.139275,-118.12574,0.0883,Private nonprofit,City,1545,58755,0,0,0,1,0,1,1,1,0,1,1,1,80500,396.1,10,59.96,35,983,237318,5.99,3-Jan-19
CA,37,University of California-Berkeley,Berkeley,94720,www.berkeley.edu,37.871969,-122.260423,0.1602,Public,City,1382,33020,0,1,1,1,0,1,1,1,1,1,1,1,62500,396.1,10,59.96,32,27126,12872,10.69,30-Nov-18
ME,38,Colby College,Waterville,04901-8840,www.colby.edu,44.564211,-69.66337,0.2805,Private nonprofit,Town,1333,59110,0,1,0,1,0,0,1,1,1,1,0,1,55500,127.8,33,51.32,30,1847,1522,9.34,1-Jan-19
